user_id,variant,device,country,prior_30d_sessions,converted_7d,sessions_7d,revenue_7d
U00001,treatment,mobile,UK,3,0,1,0.0
U00002,treatment,mobile,UK,2,0,1,0.0
U00003,treatment,mobile,US,4,0,5,0.0
U00004,treatment,mobile,UK,4,0,5,0.0
U00005,treatment,console,US,3,0,1,0.0
U00006,treatment,desktop,FR,6,0,5,0.0
U00007,treatment,console,FR,3,0,4,0.0
U00008,treatment,mobile,FR,8,0,3,0.0
U00009,control,desktop,US,8,0,6,0.0
U00010,control,console,US,6,0,1,0.0
U00011,treatment,desktop,DE,7,0,1,0.0
U00012,control,console,US,7,1,5,17.57
U00013,treatment,mobile,CA,7,0,3,0.0
U00014,treatment,desktop,US,9,0,8,0.0
U00015,treatment,desktop,UK,5,0,4,0.0
U00016,treatment,mobile,US,4,0,5,0.0
U00017,treatment,console,US,6,1,5,8.37
U00018,control,mobile,US,5,0,3,0.0
U00019,control,mobile,US,6,0,3,0.0
U00020,treatment,console,US,5,0,1,0.0
U00021,treatment,desktop,US,4,0,5,0.0
U00022,control,console,DE,8,0,3,0.0
U00023,treatment,console,UK,4,0,2,0.0
U00024,treatment,mobile,FR,8,0,3,0.0
U00025,treatment,desktop,DE,4,0,2,0.0
U00026,control,console,UK,5,0,5,0.0
U00027,control,mobile,UK,4,0,1,0.0
U00028,control,desktop,UK,8,0,4,0.0
U00029,control,console,UK,6,0,3,0.0
U00030,control,mobile,DE,6,0,1,0.0
U00031,treatment,console,CA,7,0,4,0.0
U00032,control,desktop,UK,2,0,3,0.0
U00033,control,console,US,4,1,5,8.81
U00034,control,desktop,FR,5,1,3,38.83
U00035,control,desktop,US,9,0,5,0.0
U00036,treatment,console,US,6,0,1,0.0
U00037,treatment,mobile,US,2,0,0,0.0
U00038,treatment,desktop,UK,5,0,5,0.0
U00039,treatment,console,US,6,0,5,0.0
U00040,treatment,console,CA,3,0,5,0.0
U00041,treatment,console,DE,4,0,2,0.0
U00042,treatment,desktop,US,5,1,3,13.58
U00043,treatment,desktop,CA,8,0,2,0.0
U00044,treatment,desktop,US,8,0,5,0.0
U00045,treatment,desktop,UK,7,0,8,0.0
U00046,control,desktop,CA,4,0,3,0.0
U00047,control,mobile,DE,9,0,3,0.0
U00048,treatment,mobile,FR,4,1,8,8.4
U00049,control,desktop,UK,4,1,7,16.68
U00050,treatment,mobile,US,3,1,6,8.96
U00051,control,mobile,CA,4,0,1,0.0
U00052,treatment,mobile,UK,4,1,4,55.47
U00053,control,console,FR,3,0,3,0.0
U00054,treatment,console,FR,6,0,6,0.0
U00055,control,desktop,US,6,0,6,0.0
U00056,control,console,FR,1,0,4,0.0
U00057,treatment,console,CA,3,0,3,0.0
U00058,control,mobile,FR,4,0,0,0.0
U00059,treatment,mobile,US,5,0,10,0.0
U00060,control,mobile,US,2,0,2,0.0
U00061,treatment,mobile,US,12,0,3,0.0
U00062,treatment,desktop,UK,3,0,3,0.0
U00063,treatment,mobile,CA,4,0,1,0.0
U00064,control,console,CA,4,1,3,9.13
U00065,control,desktop,UK,7,0,3,0.0
U00066,control,mobile,DE,8,0,2,0.0
U00067,control,console,CA,4,0,3,0.0
U00068,treatment,console,DE,3,0,4,0.0
U00069,treatment,console,UK,5,0,5,0.0
U00070,treatment,console,UK,4,0,3,0.0
U00071,control,console,US,9,0,3,0.0
U00072,treatment,desktop,CA,6,0,2,0.0
U00073,control,console,US,6,1,2,26.33
U00074,treatment,mobile,US,4,0,4,0.0
U00075,treatment,desktop,FR,2,0,2,0.0
U00076,treatment,desktop,FR,3,1,3,12.62
U00077,control,mobile,CA,5,0,3,0.0
U00078,treatment,mobile,FR,7,0,4,0.0
U00079,control,mobile,US,3,0,2,0.0
U00080,control,mobile,CA,7,0,2,0.0
U00081,treatment,mobile,DE,4,0,4,0.0
U00082,control,mobile,DE,6,0,4,0.0
U00083,treatment,console,UK,5,0,1,0.0
U00084,treatment,desktop,US,5,1,3,7.62
U00085,treatment,desktop,UK,4,0,5,0.0
U00086,control,mobile,FR,4,0,7,0.0
U00087,control,console,UK,5,0,2,0.0
U00088,control,mobile,US,4,0,5,0.0
U00089,control,mobile,CA,9,0,5,0.0
U00090,control,desktop,FR,4,0,3,0.0
U00091,treatment,console,FR,4,0,2,0.0
U00092,treatment,console,DE,9,1,5,16.4
U00093,control,console,UK,4,0,4,0.0
U00094,treatment,desktop,US,8,0,5,0.0
U00095,control,desktop,FR,2,0,5,0.0
U00096,treatment,desktop,FR,7,0,4,0.0
U00097,control,mobile,US,8,0,7,0.0
U00098,treatment,mobile,US,4,0,8,0.0
U00099,control,console,US,4,0,6,0.0
U00100,treatment,console,US,3,0,5,0.0
U00101,control,mobile,US,4,0,2,0.0
U00102,treatment,mobile,UK,8,0,2,0.0
U00103,control,mobile,US,2,1,5,13.78
U00104,control,desktop,US,8,0,2,0.0
U00105,treatment,mobile,DE,3,0,4,0.0
U00106,treatment,desktop,US,4,0,5,0.0
U00107,control,mobile,US,3,0,3,0.0
U00108,treatment,mobile,US,2,1,4,31.5
U00109,control,mobile,DE,7,0,3,0.0
U00110,control,console,US,3,0,4,0.0
U00111,treatment,mobile,CA,7,1,5,10.65
U00112,control,desktop,US,6,0,2,0.0
U00113,treatment,desktop,FR,7,0,2,0.0
U00114,control,console,US,3,0,3,0.0
U00115,treatment,mobile,DE,6,0,3,0.0
U00116,treatment,desktop,DE,3,1,4,26.13
U00117,treatment,mobile,UK,4,0,2,0.0
U00118,control,desktop,US,7,0,2,0.0
U00119,treatment,desktop,UK,4,0,4,0.0
U00120,treatment,console,US,6,0,3,0.0
U00121,control,console,CA,2,0,1,0.0
U00122,treatment,console,US,3,0,2,0.0
U00123,control,console,DE,4,0,6,0.0
U00124,control,mobile,US,5,1,3,32.8
U00125,treatment,desktop,US,6,0,4,0.0
U00126,treatment,mobile,DE,3,0,2,0.0
U00127,treatment,mobile,UK,4,0,4,0.0
U00128,control,desktop,UK,4,0,4,0.0
U00129,control,desktop,US,5,0,2,0.0
U00130,treatment,desktop,US,7,1,5,30.63
U00131,control,console,CA,2,0,6,0.0
U00132,control,desktop,UK,7,0,4,0.0
U00133,control,console,UK,3,0,7,0.0
U00134,treatment,console,UK,3,0,1,0.0
U00135,control,console,US,6,0,4,0.0
U00136,treatment,mobile,US,5,1,4,13.31
U00137,control,desktop,UK,5,0,5,0.0
U00138,treatment,desktop,UK,4,0,3,0.0
U00139,control,console,UK,4,0,5,0.0
U00140,control,mobile,FR,4,0,1,0.0
U00141,control,mobile,US,6,0,4,0.0
U00142,control,mobile,DE,4,0,2,0.0
U00143,control,mobile,UK,7,1,6,4.76
U00144,control,console,US,3,0,2,0.0
U00145,control,mobile,CA,5,0,5,0.0
U00146,control,mobile,UK,4,0,4,0.0
U00147,treatment,desktop,US,1,0,2,0.0
U00148,treatment,mobile,US,4,0,0,0.0
U00149,treatment,mobile,UK,5,0,1,0.0
U00150,control,desktop,US,4,0,5,0.0
U00151,control,desktop,US,5,0,5,0.0
U00152,control,console,US,6,0,1,0.0
U00153,treatment,desktop,US,2,0,2,0.0
U00154,control,console,US,4,0,3,0.0
U00155,treatment,mobile,US,2,1,2,18.95
U00156,treatment,console,FR,5,0,2,0.0
U00157,treatment,desktop,DE,4,0,2,0.0
U00158,control,desktop,US,4,1,6,3.89
U00159,control,desktop,US,5,0,2,0.0
U00160,control,mobile,DE,7,0,6,0.0
U00161,treatment,mobile,US,8,0,1,0.0
U00162,control,console,CA,5,0,0,0.0
U00163,treatment,console,FR,5,1,3,13.52
U00164,control,mobile,US,3,0,1,0.0
U00165,control,desktop,FR,7,1,2,28.61
U00166,control,desktop,UK,5,0,2,0.0
U00167,control,desktop,UK,6,0,6,0.0
U00168,control,mobile,CA,4,0,2,0.0
U00169,control,console,FR,4,0,3,0.0
U00170,control,desktop,US,6,1,4,13.79
U00171,treatment,desktop,FR,8,0,2,0.0
U00172,treatment,desktop,UK,8,0,7,0.0
U00173,treatment,desktop,DE,6,0,5,0.0
U00174,treatment,mobile,CA,3,1,1,22.42
U00175,treatment,console,FR,8,0,1,0.0
U00176,treatment,mobile,US,5,0,4,0.0
U00177,treatment,console,US,4,0,2,0.0
U00178,control,console,FR,4,0,4,0.0
U00179,control,desktop,US,7,0,2,0.0
U00180,control,desktop,CA,7,0,3,0.0
U00181,control,mobile,US,1,0,4,0.0
U00182,control,mobile,UK,6,0,1,0.0
U00183,treatment,desktop,US,4,0,4,0.0
U00184,control,mobile,US,6,0,9,0.0
U00185,control,mobile,UK,6,0,3,0.0
U00186,treatment,console,US,4,1,7,13.43
U00187,control,mobile,CA,3,0,3,0.0
U00188,control,mobile,UK,7,1,3,17.25
U00189,treatment,mobile,DE,5,0,5,0.0
U00190,treatment,desktop,US,4,0,5,0.0
U00191,control,desktop,DE,8,0,2,0.0
U00192,control,console,US,4,1,7,8.79
U00193,control,desktop,FR,7,1,5,11.09
U00194,control,mobile,US,5,1,4,18.33
U00195,control,desktop,US,4,0,3,0.0
U00196,treatment,mobile,UK,6,0,3,0.0
U00197,control,console,US,7,0,5,0.0
U00198,control,mobile,UK,5,0,7,0.0
U00199,treatment,mobile,US,2,0,4,0.0
U00200,treatment,desktop,US,11,0,5,0.0
U00201,treatment,mobile,FR,2,0,2,0.0
U00202,control,desktop,US,6,0,3,0.0
U00203,treatment,desktop,DE,5,0,3,0.0
U00204,treatment,console,UK,4,0,5,0.0
U00205,treatment,mobile,DE,2,0,2,0.0
U00206,control,desktop,CA,6,0,2,0.0
U00207,treatment,desktop,US,8,0,4,0.0
U00208,treatment,mobile,UK,3,0,5,0.0
U00209,control,desktop,DE,5,0,5,0.0
U00210,control,console,UK,6,0,3,0.0
U00211,control,console,US,6,0,5,0.0
U00212,treatment,console,UK,8,0,7,0.0
U00213,control,desktop,US,4,0,6,0.0
U00214,treatment,mobile,FR,5,0,6,0.0
U00215,control,console,UK,6,0,4,0.0
U00216,treatment,mobile,US,3,0,3,0.0
U00217,control,desktop,US,9,0,1,0.0
U00218,control,console,US,9,0,3,0.0
U00219,treatment,console,DE,4,0,2,0.0
U00220,control,console,DE,9,0,6,0.0
U00221,treatment,mobile,FR,6,0,2,0.0
U00222,treatment,desktop,US,5,1,4,31.71
U00223,control,mobile,UK,3,0,2,0.0
U00224,control,console,US,4,1,4,5.62
U00225,control,desktop,US,9,0,4,0.0
U00226,treatment,mobile,DE,5,1,2,25.69
U00227,treatment,console,FR,5,0,4,0.0
U00228,control,desktop,FR,3,0,1,0.0
U00229,control,desktop,UK,6,0,3,0.0
U00230,treatment,console,CA,5,0,3,0.0
U00231,treatment,desktop,CA,6,0,2,0.0
U00232,treatment,desktop,UK,2,0,1,0.0
U00233,control,mobile,US,5,1,6,41.55
U00234,control,mobile,FR,6,0,1,0.0
U00235,control,mobile,US,7,1,3,13.09
U00236,treatment,mobile,UK,5,0,1,0.0
U00237,control,mobile,US,3,0,4,0.0
U00238,treatment,desktop,US,4,0,1,0.0
U00239,treatment,desktop,FR,7,0,2,0.0
U00240,control,mobile,FR,6,0,3,0.0
U00241,control,desktop,CA,7,1,5,17.17
U00242,treatment,console,US,5,0,5,0.0
U00243,control,mobile,FR,6,0,3,0.0
U00244,treatment,desktop,UK,3,1,4,14.24
U00245,treatment,mobile,US,4,1,4,5.48
U00246,control,desktop,CA,6,0,1,0.0
U00247,control,desktop,FR,7,1,4,19.23
U00248,treatment,mobile,DE,6,0,4,0.0
U00249,treatment,mobile,UK,5,0,1,0.0
U00250,treatment,console,UK,8,0,4,0.0
U00251,treatment,mobile,DE,5,0,3,0.0
U00252,control,desktop,US,4,0,7,0.0
U00253,control,desktop,US,7,0,5,0.0
U00254,control,mobile,FR,5,1,6,3.3
U00255,control,desktop,UK,7,0,2,0.0
U00256,control,desktop,US,2,0,4,0.0
U00257,control,mobile,US,3,0,1,0.0
U00258,control,console,UK,8,0,4,0.0
U00259,control,desktop,US,4,0,2,0.0
U00260,treatment,desktop,UK,2,0,5,0.0
U00261,control,mobile,US,7,0,3,0.0
U00262,control,mobile,US,3,0,3,0.0
U00263,treatment,desktop,US,2,0,6,0.0
U00264,control,desktop,FR,4,0,7,0.0
U00265,control,mobile,US,6,0,3,0.0
U00266,treatment,desktop,DE,7,0,3,0.0
U00267,treatment,desktop,DE,5,1,2,23.1
U00268,control,mobile,US,7,1,2,14.49
U00269,control,console,US,2,0,1,0.0
U00270,treatment,desktop,CA,3,0,2,0.0
U00271,control,desktop,US,3,0,1,0.0
U00272,control,console,US,4,0,7,0.0
U00273,treatment,desktop,US,5,0,8,0.0
U00274,control,console,FR,4,0,2,0.0
U00275,treatment,console,US,5,0,2,0.0
U00276,treatment,mobile,US,6,0,3,0.0
U00277,treatment,desktop,US,10,0,6,0.0
U00278,control,console,FR,1,0,3,0.0
U00279,treatment,console,US,7,1,6,48.47
U00280,treatment,mobile,CA,7,1,0,9.72
U00281,treatment,mobile,FR,7,0,3,0.0
U00282,control,mobile,UK,8,0,7,0.0
U00283,treatment,console,US,6,0,6,0.0
U00284,treatment,console,CA,5,0,2,0.0
U00285,treatment,console,US,7,0,0,0.0
U00286,treatment,mobile,US,4,0,1,0.0
U00287,control,console,US,4,1,6,0.81
U00288,control,mobile,UK,2,0,3,0.0
U00289,treatment,mobile,US,4,0,5,0.0
U00290,treatment,mobile,FR,8,1,2,17.8
U00291,treatment,desktop,DE,7,0,2,0.0
U00292,treatment,desktop,UK,2,0,3,0.0
U00293,treatment,mobile,US,8,0,1,0.0
U00294,treatment,mobile,US,3,0,3,0.0
U00295,treatment,console,DE,5,0,3,0.0
U00296,treatment,mobile,US,5,0,2,0.0
U00297,control,desktop,CA,2,0,1,0.0
U00298,treatment,mobile,FR,5,0,1,0.0
U00299,treatment,mobile,DE,5,0,1,0.0
U00300,control,mobile,US,5,0,5,0.0
U00301,control,desktop,US,7,1,8,24.14
U00302,treatment,desktop,US,4,0,1,0.0
U00303,control,mobile,FR,3,0,2,0.0
U00304,control,console,CA,6,0,4,0.0
U00305,control,mobile,CA,4,0,0,0.0
U00306,treatment,console,US,4,0,2,0.0
U00307,treatment,mobile,DE,4,0,1,0.0
U00308,treatment,console,US,5,0,4,0.0
U00309,control,mobile,UK,4,0,1,0.0
U00310,treatment,desktop,DE,6,0,3,0.0
U00311,treatment,desktop,CA,5,0,4,0.0
U00312,control,desktop,FR,9,1,6,18.53
U00313,control,console,FR,4,0,3,0.0
U00314,treatment,mobile,US,6,0,3,0.0
U00315,control,mobile,DE,3,1,3,43.57
U00316,control,console,DE,3,0,2,0.0
U00317,treatment,console,US,6,0,6,0.0
U00318,treatment,desktop,UK,2,0,3,0.0
U00319,treatment,desktop,US,3,0,5,0.0
U00320,control,console,US,7,0,4,0.0
U00321,treatment,console,DE,4,1,3,15.07
U00322,treatment,console,CA,4,0,4,0.0
U00323,treatment,console,DE,7,0,3,0.0
U00324,control,mobile,US,5,0,0,0.0
U00325,treatment,desktop,US,3,0,0,0.0
U00326,treatment,desktop,US,3,0,2,0.0
U00327,treatment,mobile,DE,4,0,1,0.0
U00328,control,console,UK,9,1,2,5.25
U00329,control,desktop,US,7,0,2,0.0
U00330,treatment,mobile,FR,3,0,2,0.0
U00331,treatment,desktop,UK,5,0,3,0.0
U00332,treatment,mobile,DE,3,0,1,0.0
U00333,control,mobile,FR,3,0,4,0.0
U00334,control,desktop,FR,5,0,4,0.0
U00335,treatment,desktop,CA,4,0,4,0.0
U00336,treatment,desktop,FR,8,0,4,0.0
